GarageNumb,Marsh,Graph,Smena,TimeNav,Latitude,Longitude,Speed,Azimuth
1120,37,12,2,07.11.202020:25:40,55.785983,49.111233,0,140
1120,37,12,2,07.11.202020:25:40,55.785983,49.111233,0,140
1120,37,12,2,07.11.202020:26:40,55.7837,49.1142,11,143
1120,37,12,2,07.11.202020:26:40,55.7837,49.1142,11,143
1120,37,12,2,07.11.202020:26:40,55.7837,49.1142,11,143
1120,37,12,2,07.11.202020:26:40,55.7837,49.1142,11,143
1120,37,12,2,07.11.202020:26:40,55.7837,49.1142,11,143
1120,37,12,2,07.11.202020:26:40,55.7837,49.1142,11,143
1120,37,12,2,07.11.202020:27:40,55.782833,49.115333,9,140
1120,37,12,2,07.11.202020:27:40,55.782833,49.115333,9,140
1120,37,12,2,07.11.202020:27:40,55.782833,49.115333,9,140
1120,37,12,2,07.11.202020:27:40,55.782833,49.115333,9,140
1120,37,12,2,07.11.202020:28:40,55.783117,49.116733,9,33
1120,37,12,2,07.11.202020:28:40,55.783117,49.116733,9,33
1120,37,12,2,07.11.202020:28:40,55.783117,49.116733,9,33
1120,37,12,2,07.11.202020:28:40,55.783117,49.116733,9,33
1120,37,12,2,07.11.202020:29:40,55.78495,49.119217,19,39
1120,37,12,2,07.11.202020:29:40,55.78495,49.119217,19,39
1120,37,12,2,07.11.202020:29:40,55.78495,49.119217,19,39
1120,37,12,2,07.11.202020:29:40,55.78495,49.119217,19,39
1120,37,12,2,07.11.202020:30:40,55.7859,49.12065,0,102
1120,37,12,2,07.11.202020:30:40,55.7859,49.12065,0,102
1120,37,12,2,07.11.202020:30:40,55.7859,49.12065,0,102
1120,37,12,2,07.11.202020:30:40,55.7859,49.12065,0,102
1120,37,12,2,07.11.202020:31:40,55.785583,49.121583,0,36
1120,37,12,2,07.11.202020:31:40,55.785583,49.121583,0,36
1120,37,12,2,07.11.202020:31:40,55.785583,49.121583,0,36
1120,37,12,2,07.11.202020:31:40,55.785583,49.121583,0,36
1120,37,12,2,07.11.202020:32:40,55.785583,49.12155,0,59
1120,37,12,2,07.11.202020:32:40,55.785583,49.12155,0,59
1120,37,12,2,07.11.202020:32:40,55.785583,49.12155,0,59
1120,37,12,2,07.11.202020:32:40,55.785583,49.12155,0,59
1120,37,12,2,07.11.202020:33:40,55.785583,49.1215,0,37
1120,37,12,2,07.11.202020:33:40,55.785583,49.1215,0,37
1120,37,12,2,07.11.202020:33:40,55.785583,49.1215,0,37
1120,37,12,2,07.11.202020:33:40,55.785583,49.1215,0,37
1120,37,12,2,07.11.202020:34:40,55.785583,49.1215,0,31
1120,37,12,2,07.11.202020:34:40,55.785583,49.1215,0,31
1120,37,12,2,07.11.202020:34:40,55.785583,49.1215,0,31
1120,37,12,2,07.11.202020:34:40,55.785583,49.1215,0,31
1120,37,12,2,07.11.202020:35:40,55.784383,49.12385,19,131
1120,37,12,2,07.11.202020:35:40,55.784383,49.12385,19,131
1120,37,12,2,07.11.202020:35:40,55.784383,49.12385,19,131
1120,37,12,2,07.11.202020:35:40,55.784383,49.12385,19,131
1120,37,12,2,07.11.202020:36:40,55.782767,49.127,0,41
1120,37,12,2,07.11.202020:36:40,55.782767,49.127,0,41
1120,37,12,2,07.11.202020:36:40,55.782767,49.127,0,41
1120,37,12,2,07.11.202020:36:40,55.782767,49.127,0,41
1120,37,12,2,07.11.202020:37:40,55.780833,49.13105,24,130
1120,37,12,2,07.11.202020:37:40,55.780833,49.13105,24,130
1120,37,12,2,07.11.202020:37:40,55.780833,49.13105,24,130
1120,37,12,2,07.11.202020:37:40,55.780833,49.13105,24,130
1120,37,12,2,07.11.202020:38:40,55.779467,49.1337,9,130
1120,37,12,2,07.11.202020:38:40,55.779467,49.1337,9,130
1120,37,12,2,07.11.202020:38:40,55.779467,49.1337,9,130
1120,37,12,2,07.11.202020:38:40,55.779467,49.1337,9,130
1120,37,12,2,07.11.202020:39:40,55.778717,49.1329,24,220
1120,37,12,2,07.11.202020:39:40,55.778717,49.1329,24,220
1120,37,12,2,07.11.202020:39:40,55.778717,49.1329,24,220
1120,37,12,2,07.11.202020:39:40,55.778717,49.1329,24,220
1120,37,12,2,07.11.202020:40:40,55.776667,49.131417,20,153
1120,37,12,2,07.11.202020:40:40,55.776667,49.131417,20,153
1120,37,12,2,07.11.202020:40:40,55.776667,49.131417,20,153
1120,37,12,2,07.11.202020:40:40,55.776667,49.131417,20,153
1120,37,12,2,07.11.202020:41:40,55.774367,49.1366,35,127
1120,37,12,2,07.11.202020:41:40,55.774367,49.1366,35,127
1120,37,12,2,07.11.202020:41:40,55.774367,49.1366,35,127
1120,37,12,2,07.11.202020:41:40,55.774367,49.1366,35,127
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:42:40,55.772483,49.1408,19,130
1120,37,12,2,07.11.202020:44:40,55.765133,49.148767,19,153
1120,37,12,2,07.11.202020:44:40,55.765133,49.148767,19,153
